,L8_filename,DateTime,L8_SST,L8_SST_std,L8_SST_noqc,L8_SST_raw,L8_pix
157,LC08_L1GT_005113_20170917_20200903_02_T2_151641,2017-09-17 15:16:41,,,-25.35,-33.62,0
158,LC08_L1GT_005113_20180123_20201016_02_T2_151631,2018-01-23 15:16:31,,,-5.17,-7.4,0
159,LC08_L1GT_005113_20180224_20201016_02_T2_151618,2018-02-24 15:16:18,,,-8.27,-11.43,0
160,LC08_L1GT_005113_20181006_20200830_02_T2_151620,2018-10-06 15:16:20,,,-6.75,-9.45,0
161,LC08_L1GT_005113_20181209_20201016_02_T2_151626,2018-12-09 15:16:26,,,-5.41,-7.72,0
162,LC08_L1GT_005113_20190110_20201016_02_T2_151624,2019-01-10 15:16:24,-1.85,0.05,-3.35,-5.04,6
163,LC08_L1GT_005113_20190126_20201016_02_T2_151620,2019-01-26 15:16:20,,,-3.59,-5.36,0
164,LC08_L1GT_005113_20190211_20201016_02_T2_151618,2019-02-11 15:16:18,,,-7.38,-10.28,0
165,LC08_L1GT_005113_20191110_20201016_02_T2_151655,2019-11-10 15:16:55,,,-14.79,-19.89,0
166,LC08_L1GT_005113_20191212_20201016_02_T2_151651,2019-12-12 15:16:51,,,-3.15,-4.78,0
167,LC08_L1GT_005113_20191228_20201016_02_T2_151648,2019-12-28 15:16:48,-1.74,0.1,-2.46,-3.88,62
168,LC08_L1GT_005113_20200214_20201016_02_T2_151635,2020-02-14 15:16:35,,,-9.72,-13.31,0
169,LC08_L1GT_005113_20201112_20210317_02_T2_151649,2020-11-12 15:16:49,,,-7.38,-10.28,0
170,LC08_L1GT_005113_20201214_20210314_02_T2_151654,2020-12-14 15:16:54,,,-4.47,-6.5,0
171,LC08_L1GT_005113_20210131_20210302_02_T2_151641,2021-01-31 15:16:41,,,-7.13,-9.95,0
172,LC08_L1GT_005113_20210216_20210301_02_T2_151637,2021-02-16 15:16:37,,,-9.09,-12.5,0
173,LC08_L1GT_158131_20131211_20200912_02_T2_071056,2013-12-11 07:10:56,-1.87,0.0,-3.37,-5.07,3
174,LC08_L1GT_158131_20140112_20200912_02_T2_071033,2014-01-12 07:10:33,,,-5.29,-7.56,0
175,LC08_L1GT_158131_20150115_20200910_02_T2_070922,2015-01-15 07:09:22,,,-5.45,-7.77,0
176,LC08_L1GT_158131_20160102_20200907_02_T2_070926,2016-01-02 07:09:26,,,-2.62,-4.09,0
177,LC08_L1GT_158131_20161203_20200905_02_T2_070940,2016-12-03 07:09:40,,,-4.99,-7.17,0
178,LC08_L1GT_158131_20171222_20200902_02_T2_070932,2017-12-22 07:09:32,,,-5.16,-7.39,0
179,LC08_L1GT_158131_20180107_20200902_02_T2_070927,2018-01-07 07:09:27,,,-2.51,-3.95,0
180,LC08_L1GT_158131_20181209_20200830_02_T2_070913,2018-12-09 07:09:13,,,-9.38,-12.87,0
181,LC08_L1GT_158131_20190126_20200830_02_T2_070907,2019-01-26 07:09:07,,,-6.1,-8.61,0
182,LC08_L1GT_158131_20191212_20200824_02_T2_070938,2019-12-12 07:09:38,,,-5.75,-8.15,0
183,LC08_L1GT_158131_20191228_20200824_02_T2_070935,2019-12-28 07:09:35,,,-4.54,-6.58,0
184,LC08_L1GT_159131_20131202_20200912_02_T2_071709,2013-12-02 07:17:09,,,-3.14,-4.77,0
185,LC08_L1GT_159131_20141205_20200910_02_T2_071541,2014-12-05 07:15:41,,,-6.6,-9.26,0
