DateTime,MODIS_filename,MODIS_SST,MODIS_pix,L8_filename,L8_SST,L8_pix,time_dif
2022-12-16 15:41:21,20221216162001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.7769204038474755,19830,LC08_L1GT_009112_20221216_20221227_02_T2_154121_Cel.tif,-2.729749005754205,19830,0 days 00:38:40
2023-01-17 15:41:09,20230117152000-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-0.6475902193104289,2223252,LC08_L1GT_009112_20230117_20230131_02_T2_154109_Cel.tif,-1.6580422144027462,2223252,0 days 00:21:09
2023-02-02 15:41:15,20230202163001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-0.5383380080650906,1890326,LC08_L1GT_009112_20230202_20230209_02_T2_154115_Cel.tif,-1.3333862117613147,1890326,0 days 00:48:46
2023-02-18 15:41:05,20230218160001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.456953113175066,457490,LC08_L1GT_009112_20230218_20230223_02_T2_154105_Cel.tif,-2.9781139649900457,457490,0 days 00:18:56
2023-03-06 15:40:53,20230306153000-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_009112_20230306_20230316_02_T2_154053_Cel.tif,,0,0 days 00:10:53
2023-03-22 15:40:43,20230322150000-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_009112_20230322_20230404_02_T2_154043_Cel.tif,,0,0 days 00:40:43
2021-10-10 15:41:41,20211010164001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_009113_20211010_20211019_02_T2_154141_Cel.tif,,0,0 days 00:58:20
2021-11-11 15:41:39,20211111150001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_009113_20211111_20211117_02_T2_154139_Cel.tif,,0,0 days 00:41:38
2022-01-30 15:41:25,20220130150000-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_009113_20220130_20220204_02_T2_154125_Cel.tif,,0,0 days 00:41:25
2022-02-15 15:41:21,20220215150001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.1873209772286157,91377,LC08_L1GT_009113_20220215_20220223_02_T2_154121_Cel.tif,-2.1741021500623043,91377,0 days 00:41:20
2022-03-19 15:41:09,20220319150001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_009113_20220319_20220329_02_T2_154109_Cel.tif,,0,0 days 00:41:08
2022-11-14 15:41:50,20221114154001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_009113_20221114_20221122_02_T2_154150_Cel.tif,,0,0 days 00:01:49
2022-11-30 15:41:50,20221130151000-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.5695483355405693,71855,LC08_L1GT_009113_20221130_20221206_02_T2_154150_Cel.tif,-2.3881258570993062,71855,0 days 00:31:50
2023-01-17 15:41:32,20230117152000-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-0.8326651672694284,70093,LC08_L1GT_009113_20230117_20230131_02_T2_154132_Cel.tif,-1.5948172192393621,70093,0 days 00:21:32
2023-02-02 15:41:39,20230202163001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-0.5410989819841574,76669,LC08_L1GT_009113_20230202_20230209_02_T2_154139_Cel.tif,-1.2842064792067653,76669,0 days 00:48:22
2023-02-18 15:41:29,20230218160001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.5521478858351445,32664,LC08_L1GT_009113_20230218_20230223_02_T2_154129_Cel.tif,-4.410065879142696,32664,0 days 00:18:32
2023-03-22 15:41:07,20230322150000-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_009113_20230322_20230404_02_T2_154107_Cel.tif,,0,0 days 00:41:07
2021-10-17 15:47:29,20211017151000-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_010112_20211017_20211026_02_T2_154729_Cel.tif,,0,0 days 00:37:29
2021-12-04 15:47:25,20211204164500-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.5689874025493833,1125572,LC08_L1GT_010112_20211204_20211214_02_T2_154725_Cel.tif,-3.1153544161821376,1125572,0 days 00:57:35
2021-12-20 15:47:23,20211220150501-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-0.9309485596871167,2292493,LC08_L1GT_010112_20211220_20211229_02_T2_154723_Cel.tif,-2.007169744317675,2292493,0 days 00:42:22
2022-01-05 15:47:18,20220105150501-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-0.7407067127365246,512909,LC08_L1GT_010112_20220105_20220114_02_T2_154718_Cel.tif,-1.6414442024127978,512909,0 days 00:42:17
2022-01-21 15:47:14,20220121150500-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-0.4970576882408837,2296511,LC08_L1GT_010112_20220121_20220128_02_T2_154714_Cel.tif,-1.5990794531621852,2296511,0 days 00:42:14
2022-02-06 15:47:11,20220206150501-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-0.9444659697860911,449463,LC08_L1GT_010112_20220206_20220212_02_T2_154711_Cel.tif,-1.8029271681961494,449463,0 days 00:42:10
